0
hour
age
used_premium_feature
num_screens
location
VerifyPhone
BankVerification
VerifyDateOfBirth
VerifyCountry
Cycle
idscreen
Alerts
Leaderboard
VerifyMobile
ProfileEducation
Login
ProfileEmploymentLength
lainnya
jumlah_loan
jumlah_credit
